"","tagid","CAMM_W3","Grades_W3","SC_W3","wave","age","transition"
"119","TAG127",NA,NA,NA,"W3",NA,NA
"120","TAG131",NA,NA,NA,"W3",NA,1
"121","TAG132",NA,NA,NA,"W3",NA,1
"122","TAG137",NA,NA,NA,"W3",NA,NA
"123","TAG141",NA,NA,NA,"W3",NA,1
"124","TAG143",NA,NA,NA,"W3",NA,NA
"125","TAG144",NA,NA,NA,"W3",NA,1
"126","TAG145",NA,NA,NA,"W3",NA,NA
"127","TAG147",NA,NA,NA,"W3",NA,NA
"128","TAG152",NA,NA,NA,"W3",NA,NA
"129","TAG155",NA,NA,NA,"W3",NA,NA
"130","TAG165",NA,NA,NA,"W3",NA,NA
"131","TAG166",NA,NA,NA,"W3",NA,NA
"132","TAG167",NA,NA,NA,"W3",NA,1
"133","TAG170",NA,NA,NA,"W3",NA,NA
"134","TAG173",NA,NA,NA,"W3",NA,NA
"135","TAG174",NA,NA,NA,"W3",NA,NA
"136","TAG175",NA,NA,NA,"W3",NA,NA
"137","TAG176",NA,NA,NA,"W3",NA,NA
"138","TAG179",NA,NA,NA,"W3",NA,2
"139","TAG180",NA,NA,NA,"W3",NA,NA
"140","TAG186",NA,NA,NA,"W3",NA,NA
"141","TAG188",NA,NA,NA,"W3",NA,NA
"142","TAG190",NA,NA,NA,"W3",NA,NA
"143","TAG192",NA,NA,NA,"W3",NA,1
"144","TAG194",NA,NA,NA,"W3",NA,1
"145","TAG200",NA,NA,NA,"W3",NA,NA
"146","TAG202",NA,NA,NA,"W3",NA,NA
"147","TAG203",NA,NA,NA,"W3",NA,NA
"148","TAG205",NA,NA,NA,"W3",NA,NA
"149","TAG206",NA,NA,NA,"W3",NA,NA
"150","TAG207",NA,NA,NA,"W3",NA,NA
"151","TAG208",NA,NA,NA,"W3",NA,NA
"152","TAG209",NA,NA,NA,"W3",NA,NA
"153","TAG210",NA,NA,NA,"W3",NA,1
"154","TAG211",NA,NA,NA,"W3",NA,1
"155","TAG215",NA,NA,NA,"W3",NA,NA
"156","TAG218",NA,NA,NA,"W3",NA,NA
"157","TAG220",NA,NA,NA,"W3",NA,NA
"158","TAG221",NA,NA,NA,"W3",NA,NA
"159","TAG223",NA,NA,NA,"W3",NA,NA
"160","TAG224",NA,NA,NA,"W3",NA,NA
"161","TAG225",NA,NA,NA,"W3",NA,NA
"162","TAG232",NA,NA,NA,"W3",NA,NA
"163","TAG233",NA,NA,NA,"W3",NA,NA
"164","TAG238",NA,NA,NA,"W3",NA,NA
"165","TAG240",NA,NA,NA,"W3",NA,NA
"166","TAG243",NA,NA,NA,"W3",NA,NA
"167","TAG244",NA,NA,NA,"W3",NA,NA
"168","TAG247",NA,NA,NA,"W3",NA,NA
"169","TAG250",NA,NA,NA,"W3",NA,NA
"170","TAG252",NA,NA,NA,"W3",NA,NA
"171","TAG253",NA,NA,NA,"W3",NA,NA
"172","TAG257",NA,NA,NA,"W3",NA,NA
"173","TAG258",NA,NA,NA,"W3",NA,NA
"174","TAG261",NA,NA,NA,"W3",NA,NA
"175","TAG266",NA,NA,NA,"W3",NA,NA
