"","tagid","survey_name","CAMM_1","CAMM_10","CAMM_2","CAMM_3","CAMM_4","CAMM_5","CAMM_6","CAMM_7","CAMM_8","CAMM_9","survey_type","survey_date","CAMM_N","CAMM_missing","CAMM_missing_perc","CAMM_mean","CAMM_total"
"22","TAG036","W2 Home Qs - Current V1",3,1,3,4,4,1,2,4,2,4,"Home","2018-02-15",10,0,0,2.8,28
"23","TAG037","W2 Home Qs - Current V1",4,4,2,4,4,3,4,4,2,4,"Home","2017-10-24",10,0,0,3.5,35
"24","TAG038","W2 Home Qs - Current V1",4,4,4,4,0,2,2,3,3,4,"Home","2018-03-23",10,0,0,3,30
"25","TAG040","W2 Home Qs - Current V1",4,3,4,4,2,3,3,2,3,3,"Home","2018-04-20",10,0,0,3.1,31
"26","TAG041","W2 Home Qs - Current V1",4,3,4,3,3,3,4,4,4,4,"Home","2017-12-16",10,0,0,3.6,36
"27","TAG042","W2 Home Qs - Current V1",3,3,4,3,2,2,4,4,0,4,"Home","2018-02-14",10,0,0,2.9,29
"28","TAG044","W2 Home Qs - Current V1",1,2,2,1,3,2,2,1,1,1,"Home","2017-11-10",10,0,0,1.6,16
"29","TAG045","W2 Home Qs - Current V1",4,4,4,4,4,4,4,4,2,4,"Home","2017-12-03",10,0,0,3.8,38
"30","TAG046","W2 - Home Qs - Current V1 IN LAB",4,4,4,4,4,4,4,4,4,4,"Home","2018-04-07",10,0,0,4,40
"31","TAG047","W2 Home Qs - Current V1",4,4,4,4,4,4,4,4,4,4,"Home","2018-04-07",10,0,0,4,40
"32","TAG048","W2 Home Qs - Current V1",1,3,2,2,2,1,1,1,3,2,"Home","2018-06-06",10,0,0,1.8,18
"33","TAG049","W2 Home Qs - Current V1",2,2,4,2,2,2,2,2,2,2,"Home","2018-03-17",10,0,0,2.2,22
"34","TAG050","W2 Home Qs - Current V1",1,4,1,3,2,1,4,4,0,2,"Home","2017-11-21",10,0,0,2.2,22
"35","TAG051","W2 - Home Qs - Current V1 IN LAB",4,4,4,4,4,4,4,4,4,4,"Home","2017-09-22",10,0,0,4,40
"36","TAG052","W2 Home Qs - Current V1",1,3,2,2,4,3,3,2,2,2,"Home","2017-10-21",10,0,0,2.4,24
"37","TAG053","W2 - Home Qs - Current V1 IN LAB",4,4,1,1,1,1,4,4,4,2,"Home","2018-01-08",10,0,0,2.6,26
"38","TAG054","W2 Home Qs - Current V1",4,3,4,4,4,4,3,4,4,4,"Home","2017-11-17",10,0,0,3.8,38
"39","TAG055","W2 Home Qs - Current V1",2,3,3,4,4,3,2,3,2,3,"Home","2017-10-29",10,0,0,2.9,29
"40","TAG056","W2 Home Qs - Current V1",4,2,3,3,2,1,2,3,2,2,"Home","2018-03-26",10,0,0,2.4,24
"41","TAG058","W2 Home Qs - Current V1",1,1,1,1,1,2,3,1,1,2,"Home","2018-02-25",10,0,0,1.4,14
"42","TAG059","W2 Home Qs - Current V1",3,3,4,4,2,3,3,2,2,2,"Home","2017-10-27",10,0,0,2.8,28
"43","TAG060","W2 Home Qs - Current V1",4,4,4,4,4,3,3,4,4,4,"Home","2017-11-04",10,0,0,3.8,38
"44","TAG062","W2 - Home Qs - Current V1 IN LAB",3,2,4,4,2,2,3,2,2,3,"Home","2018-03-29",10,0,0,2.7,27
"45","TAG064","W2 - Home Qs - Current V1 IN LAB",4,3,2,4,4,1,4,4,3,4,"Home","2017-12-03",10,0,0,3.3,33
"46","TAG065","W2 Home Qs - Current V1",3,2,2,3,4,2,3,4,3,3,"Home","2017-12-05",10,0,0,2.9,29
"47","TAG067","W2 Home Qs - Current V1",3,3,3,3,3,3,2,4,3,4,"Home","2017-09-14",10,0,0,3.1,31
"48","TAG068","W2 - Home Qs - Current V1 IN LAB",4,4,4,3,4,4,4,4,3,4,"Home","2018-08-06",10,0,0,3.8,38
"49","TAG070","W2 Home Qs - Current V1",1,3,2,2,3,1,1,3,1,2,"Home","2018-02-23",10,0,0,1.9,19
"50","TAG071","W2 Home Qs - Current V1",3,4,4,4,4,3,4,4,2,4,"Home","2018-03-28",10,0,0,3.6,36
"51","TAG072","W2 Home Qs - Current V1",3,3,2,3,3,3,3,3,3,3,"Home","2018-11-30",10,0,0,2.9,29
"52","TAG074","W2 Home Qs - Current V1",2,2,1,2,3,2,2,2,1,2,"Home","2019-04-14",10,0,0,1.9,19
"53","TAG075","W2 Home Qs - Current V1",2,3,3,2,2,1,3,3,2,3,"Home","2018-05-17",10,0,0,2.4,24
"54","TAG077","W2 Home Qs - Current V1",4,4,4,4,4,4,2,4,1,4,"Home","2019-01-26",10,0,0,3.5,35
"55","TAG078","W2 Home Qs - Current V1",2,2,1,2,3,1,2,2,2,2,"Home","2018-05-05",10,0,0,1.9,19
"56","TAG079","W2 Home Qs - Current V1",2,1,3,0,1,2,0,2,1,2,"Home","2018-06-08",10,0,0,1.4,14
"57","TAG080","W2 Home Qs - Current V1",4,4,4,4,4,4,3,4,3,4,"Home","2018-08-19",10,0,0,3.8,38
"58","TAG081","W2 Home Qs - Current V1",4,4,2,2,2,2,2,2,2,2,"Home","2019-03-09",10,0,0,2.4,24
"59","TAG084","W2 Home Qs - Current V1",3,2,3,1,3,1,2,1,1,2,"Home","2017-11-27",10,0,0,1.9,19
"60","TAG085","W2 Home Qs - Current V1",1,3,0,0,0,0,2,2,2,3,"Home","2018-02-02",10,0,0,1.3,13
"61","TAG086","W2 Home Qs - Current V1",3,1,2,4,3,1,4,2,2,NA,"Home","2017-11-26",10,1,10,2.44444444444444,NA
"62","TAG087","W2 Home Qs - Current V1",3,3,4,3,3,2,2,3,2,3,"Home","2019-05-24",10,0,0,2.8,28
"63","TAG088","W2 Home Qs - Current V1",3,4,3,2,3,3,2,2,3,3,"Home","2018-04-16",10,0,0,2.8,28
"64","TAG089","W2 Home Qs - Current V1",2,2,2,2,3,2,2,3,2,2,"Home","2017-12-07",10,0,0,2.2,22
"65","TAG090","W2 Home Qs - Current V1",4,4,3,4,4,3,4,4,3,3,"Home","2017-12-27",10,0,0,3.6,36
"66","TAG091","W2 - Home Qs - Current V1 IN LAB",0,3,2,2,1,2,1,3,1,1,"Home","2018-09-16",10,0,0,1.6,16
"67","TAG093","W2 Home Qs - Current V1",2,4,4,1,4,2,2,3,2,3,"Home","2018-03-09",10,0,0,2.7,27
"68","TAG094","W2 Home Qs - Current V1",4,4,4,4,4,1,4,4,4,4,"Home","2017-11-25",10,0,0,3.7,37
"69","TAG095","W2 Home Qs - Current V1",4,2,3,4,3,2,3,2,2,3,"Home","2018-12-02",10,0,0,2.8,28
"70","TAG098","W2 Home Qs - Current V1",3,2,3,3,2,1,2,3,2,3,"Home","2018-04-26",10,0,0,2.4,24
"71","TAG099","W2 Home Qs - Current V1",4,4,4,4,4,NA,4,4,4,4,"Home","2018-08-02",10,1,10,4,NA
"72","TAG100","W2 Home Qs - Current V1",2,4,4,3,4,3,4,1,2,4,"Home","2018-04-08",10,0,0,3.1,31
"73","TAG101","W2 Home Qs - Current V1",3,3,2,2,3,2,3,3,2,3,"Home","2018-09-12",10,0,0,2.6,26
"74","TAG102","W2 Home Qs - Current V1",0,3,1,2,2,3,2,1,0,1,"Home","2018-05-16",10,0,0,1.5,15
"75","TAG104","W2 Home Qs - Current V1",2,2,3,3,2,1,2,1,1,2,"Home","2018-04-13",10,0,0,1.9,19
"76","TAG105","W2 Home Qs - Current V1",3,2,2,3,3,2,2,1,2,2,"Home","2018-05-03",10,0,0,2.2,22
"77","TAG107","W2 Home Qs - Current V1",2,2,1,2,3,1,1,3,2,4,"Home","2018-11-11",10,0,0,2.1,21
"78","TAG110","W2 Home Qs - Current V1",0,3,3,0,3,2,2,0,2,1,"Home","2018-12-16",10,0,0,1.6,16
"79","TAG111","W2 - Home Qs - Current V1 IN LAB",4,3,3,3,4,3,3,4,3,4,"Home","2018-07-28",10,0,0,3.4,34
"80","TAG112","W2 - Home Qs - Current V1 IN LAB",4,4,2,4,4,2,0,4,4,4,"Home","2018-08-31",10,0,0,3.2,32
"81","TAG113","W2 - Home Qs - Current V1 IN LAB",3,3,3,3,2,2,3,3,3,3,"Home","2018-07-30",10,0,0,2.8,28
"82","TAG114","W2 - Home Qs - Current V1 IN LAB",1,2,0,1,1,0,0,1,2,2,"Home","2018-07-16",10,0,0,1,10
"83","TAG116","W2 Home Qs - Current V2",3,3,4,3,3,2,3,3,2,3,"Home","2019-06-15",10,0,0,2.9,29
"84","TAG117","W2 Home Qs - Current V1",3,3,1,1,2,2,0,2,1,3,"Home","2018-07-16",10,0,0,1.8,18
"85","TAG119","W2 Home Qs - Current V1",2,4,2,2,4,3,2,2,1,4,"Home","2018-04-15",10,0,0,2.6,26
"86","TAG120","W2 Home Qs - Current V1",4,3,2,3,2,2,2,4,1,3,"Home","2019-05-04",10,0,0,2.6,26
"87","TAG124","W2 Home Qs - Current V1",3,4,2,3,4,1,1,4,3,3,"Home","2019-04-27",10,0,0,2.8,28
"88","TAG125","W2 Home Qs - Current V1",3,3,2,2,2,2,2,3,2,3,"Home","2019-05-12",10,0,0,2.4,24
"89","TAG130","W2 - Home Qs - Current V1 IN LAB",2,4,3,4,4,4,2,2,2,3,"Home","2018-05-26",10,0,0,3,30
"90","TAG131","W2 Home Qs - Current V1",0,1,1,1,2,1,0,2,2,3,"Home","2018-09-06",10,0,0,1.3,13
"91","TAG132","W2 - Home Qs - Current V1 IN LAB",1,3,1,3,3,3,3,3,3,4,"Home","2018-09-16",10,0,0,2.7,27
"92","TAG140","W2 Home Qs - Current V1",2,4,3,4,2,1,0,3,1,3,"Home","2018-05-31",10,0,0,2.3,23
"93","TAG143","W2 Home Qs - Current V1",1,2,3,3,2,2,4,3,2,4,"Home","2018-05-04",10,0,0,2.6,26
"94","TAG147","W2 Home Qs - Current V2",3,3,2,3,3,2,3,3,3,4,"Home","2019-10-12",10,0,0,2.9,29
"95","TAG149","W2 Home Qs - Current V1",2,2,4,2,2,2,3,2,3,2,"Home","2018-01-01",10,0,0,2.4,24
"96","TAG159","W2 Home Qs - Current V1",2,2,2,2,2,2,2,4,4,2,"Home","2018-02-24",10,0,0,2.4,24
"97","TAG160","W2 Home Qs - Current V1",2,3,3,4,4,1,3,3,3,4,"Home","2018-03-10",10,0,0,3,30
"98","TAG166","W2 - Home Qs - Current V1 IN LAB",2,3,2,2,3,2,2,2,3,3,"Home","2017-09-28",10,0,0,2.4,24
"99","TAG166","W2 Home Qs - Current V1",2,3,1,2,3,3,3,2,2,4,"Home","2019-02-20",10,0,0,2.5,25
"100","TAG169","W2 Home Qs - Current V1",1,1,1,0,1,0,0,1,1,0,"Home","2018-06-17",10,0,0,0.6,6
"101","TAG173","W2 - Home Qs - Current V1 IN LAB",4,4,4,3,2,3,1,4,3,4,"Home","2018-10-23",10,0,0,3.2,32
"102","TAG174","W2 - Home Qs - Current V1 IN LAB",0,0,0,0,0,0,0,0,0,0,"Home","2018-08-13",10,0,0,0,0
"103","TAG176","W2 Home Qs - Current V1",3,1,3,4,4,4,4,4,4,3,"Home","2018-11-15",10,0,0,3.4,34
"104","TAG177","W2 Home Qs - Current V1",3,2,2,2,1,1,1,3,0,3,"Home","2018-06-22",10,0,0,1.8,18
"105","TAG179","W2 Home Qs - Current V1",4,4,4,4,2,0,2,4,2,2,"Home","2019-01-22",10,0,0,2.8,28
"106","TAG180","W2 - Home Qs - Current V1 IN LAB",2,2,1,1,3,1,4,2,3,3,"Home","2018-12-08",10,0,0,2.2,22
"107","TAG186","W2 Home Qs - Current V1",3,1,2,3,3,2,3,3,3,3,"Home","2018-11-04",10,0,0,2.6,26
"108","TAG188","W2 Home Qs - Current V1",4,4,2,3,4,2,3,4,2,4,"Home","2019-03-12",10,0,0,3.2,32
"109","TAG190","W2 Home Qs - Current V1",4,4,2,3,3,2,0,3,4,4,"Home","2018-12-13",10,0,0,2.9,29
"110","TAG192","W2 Home Qs - Current V1",4,2,2,3,3,2,4,4,2,2,"Home","2018-09-03",10,0,0,2.8,28
"111","TAG194","W2 Home Qs - Current V1",3,2,2,3,3,3,1,3,2,2,"Home","2018-08-14",10,0,0,2.4,24
"112","TAG200","W2 Home Qs - Current V1",4,4,4,0,1,0,4,4,0,4,"Home","2019-03-19",10,0,0,2.5,25
"113","TAG202","W2 Home Qs - Current V1",2,3,3,2,3,3,2,2,2,3,"Home","2018-10-22",10,0,0,2.5,25
"114","TAG203","W2 - Home Qs - Current V2 IN LAB",2,3,0,2,2,2,1,2,3,3,"Home","2019-08-09",10,0,0,2,20
"115","TAG205","W2 Home Qs - Current V1",2,1,1,1,1,1,2,2,0,1,"Home","2018-11-03",10,0,0,1.2,12
"116","TAG206","W2 Home Qs - Current V1",3,3,2,2,3,3,2,3,2,3,"Home","2019-04-13",10,0,0,2.6,26
"117","TAG207","W2 Home Qs - Current V1",4,4,4,4,4,4,3,4,4,4,"Home","2018-10-13",10,0,0,3.9,39
"118","TAG208","W2 Home Qs - Current V1",4,4,3,4,4,3,3,4,3,3,"Home","2018-11-08",10,0,0,3.5,35
"119","TAG209","W2 - Home Qs - Current V1 IN LAB",2,2,1,1,1,2,1,0,2,1,"Home","2018-09-27",10,0,0,1.3,13
"120","TAG210","W2 - Home Qs - Current V1 IN LAB",4,4,4,4,4,2,4,3,2,4,"Home","2018-08-08",10,0,0,3.5,35
"121","TAG211","W2 Home Qs - Current V1",0,0,4,4,4,4,0,0,0,0,"Home","2018-09-29",10,0,0,1.6,16
"122","TAG218","W2 Home Qs - Current V1",3,1,4,3,4,1,3,3,2,3,"Home","2019-05-28",10,0,0,2.7,27
"123","TAG220","W2 Home Qs - Current V1",3,4,1,3,4,3,4,3,2,3,"Home","2018-11-30",10,0,0,3,30
"124","TAG223","W2 Home Qs - Current V1",4,2,3,3,3,2,3,3,2,3,"Home","2019-04-19",10,0,0,2.8,28
"125","TAG224","W2 Home Qs - Current V1",1,3,1,2,2,3,2,2,1,2,"Home","2019-02-15",10,0,0,1.9,19
"126","TAG225","W2 Home Qs - Current V2",1,1,0,1,0,0,0,1,2,1,"Home","2019-06-13",10,0,0,0.7,7
"127","TAG232","W2 Home Qs - Current V2",1,3,2,2,3,2,2,2,3,4,"Home","2019-10-18",10,0,0,2.4,24
"128","TAG238","W2 Home Qs - Current V2",4,2,3,3,2,2,3,3,2,2,"Home","2019-08-01",10,0,0,2.6,26
"129","TAG243","W2 Home Qs - Current V2",2,3,1,3,3,2,1,3,2,3,"Home","2019-07-22",10,0,0,2.3,23
"130","TAG247","W2 Home Qs - Current V2",3,3,3,2,4,3,4,3,0,3,"Home","2019-07-28",10,0,0,2.8,28
"131","TAG250","W2 Home Qs - Current V2",2,3,1,3,3,3,1,3,3,3,"Home","2019-06-12",10,0,0,2.5,25
"132","TAG252","W2 Home Qs - Current V2",4,4,3,4,2,2,3,4,3,2,"Home","2019-08-13",10,0,0,3.1,31
"133","TAG261","W2 Home Qs - Current V2",4,1,0,4,4,0,1,4,4,4,"Home","2019-09-14",10,0,0,2.6,26
"134","TAG266","W2 Home Qs - Current V2",1,0,4,0,0,0,2,1,1,1,"Home","2019-09-17",10,0,0,1,10
