"","TAGID","wave","DOB","session_date","age"
"155","TAG_046","wave_2_scheduling_arm_1","","3/15/18",11
"156","TAG_046","sos_arm_1","","10/14/18",12
"157","TAG_046","wave_3_scheduling_arm_1","","9/27/19",13
"158","TAG_047","wave_1_scheduling_arm_1","","8/31/16",11
"159","TAG_047","wave_2_scheduling_arm_1","","3/15/18",13
"160","TAG_047","sos_arm_1","","10/14/18",13
"161","TAG_047","wave_3_scheduling_arm_1","","9/18/19",14
"162","TAG_048","wave_1_scheduling_arm_1","","11/12/16",12
"163","TAG_048","wave_2_scheduling_arm_1","","6/2/18",13
"164","TAG_048","sos_arm_1","","3/9/19",14
"165","TAG_048","wave_3_scheduling_arm_1","","11/30/19",15
"166","TAG_049","wave_1_scheduling_arm_1","","8/21/16",11
"167","TAG_049","wave_2_scheduling_arm_1","","2/22/18",12
"168","TAG_049","wave_3_scheduling_arm_1","","8/26/19",14
"169","TAG_050","wave_1_scheduling_arm_1","","3/18/16",12
"170","TAG_050","wave_2_scheduling_arm_1","","10/27/17",14
"171","TAG_050","sos_arm_1","","11/11/18",15
"172","TAG_050","wave_3_scheduling_arm_1","","4/15/19",15
"173","TAG_051","wave_1_scheduling_arm_1","","2/24/16",11
"174","TAG_051","wave_2_scheduling_arm_1","","9/22/17",13
"175","TAG_051","wave_3_scheduling_arm_1","","3/29/19",14
"176","TAG_052","wave_1_scheduling_arm_1","","2/27/16",10
"177","TAG_052","wave_2_scheduling_arm_1","","10/13/17",12
"178","TAG_052","sos_arm_1","","3/29/20",14
"179","TAG_052","wave_3_scheduling_arm_1","","7/19/19",14
"180","TAG_053","wave_1_scheduling_arm_1","","5/10/16",12
"181","TAG_053","wave_2_scheduling_arm_1","","11/17/17",14
"182","TAG_053","sos_arm_1","","12/19/18",15
"183","TAG_053","wave_3_scheduling_arm_1","","5/31/19",15
"184","TAG_054","wave_1_scheduling_arm_1","","3/23/16",10
"185","TAG_054","wave_2_scheduling_arm_1","","10/20/17",11
"186","TAG_054","wave_3_scheduling_arm_1","","6/7/19",13
"187","TAG_055","wave_1_scheduling_arm_1","","3/2/16",12
"188","TAG_055","wave_2_scheduling_arm_1","","9/27/17",14
"189","TAG_055","sos_arm_1","","3/1/20",16
"190","TAG_055","wave_3_scheduling_arm_1","","4/29/19",16
"191","TAG_056","wave_1_scheduling_arm_1","","7/27/16",12
"192","TAG_056","wave_2_scheduling_arm_1","","2/23/18",13
"193","TAG_056","wave_3_scheduling_arm_1","","8/21/19",15
"194","TAG_057","wave_1_scheduling_arm_1","","3/7/16",12
"195","TAG_057","wave_2_scheduling_arm_1","","9/21/17",13
"196","TAG_057","sos_arm_1","","10/27/18",14
"197","TAG_057","wave_3_scheduling_arm_1","","3/26/19",15
"198","TAG_057","wave_4_scheduling_arm_1","","1/19/21",16
"199","TAG_058","wave_1_scheduling_arm_1","","3/4/16",11
"200","TAG_058","wave_2_scheduling_arm_1","","11/2/17",13
"201","TAG_058","wave_3_scheduling_arm_1","","5/9/19",14
"202","TAG_059","wave_1_scheduling_arm_1","","4/29/16",11
"203","TAG_059","wave_2_scheduling_arm_1","","11/22/17",13
"204","TAG_059","sos_arm_1","","12/23/18",14
"205","TAG_059","wave_3_scheduling_arm_1","","6/20/19",14
"206","TAG_062","wave_1_scheduling_arm_1","","7/18/16",10
"207","TAG_062","wave_2_scheduling_arm_1","","2/19/18",11
"208","TAG_062","sos_arm_1","","1/4/19",12
"209","TAG_062","wave_3_scheduling_arm_1","","8/26/19",13
"210","TAG_063","wave_1_scheduling_arm_1","","7/2/16",NA
"211","TAG_064","wave_1_scheduling_arm_1","","4/5/16",10
"212","TAG_064","wave_2_scheduling_arm_1","","11/8/17",12
"213","TAG_064","wave_3_scheduling_arm_1","","5/22/19",13
"214","TAG_065","wave_1_scheduling_arm_1","","4/5/16",10
"215","TAG_065","wave_2_scheduling_arm_1","","11/13/17",11
"216","TAG_065","wave_3_scheduling_arm_1","","6/4/19",13
"217","TAG_066","wave_1_scheduling_arm_1","","4/23/16",11
"218","TAG_066","wave_2_scheduling_arm_1","","11/19/17",13
"219","TAG_066","wave_3_scheduling_arm_1","","6/22/19",14
"220","TAG_067","wave_1_scheduling_arm_1","","4/23/16",12
"221","TAG_067","wave_2_scheduling_arm_1","","8/23/17",13
"222","TAG_067","wave_3_scheduling_arm_1","","3/26/19",15
"223","TAG_068","wave_1_scheduling_arm_1","","11/23/16",11
"224","TAG_068","wave_2_scheduling_arm_1","","7/9/18",13
"225","TAG_068","sos_arm_1","","3/3/19",13
"226","TAG_068","wave_3_scheduling_arm_1","","12/2/19",14
"227","TAG_069","wave_1_scheduling_arm_1","","4/30/16",12
"228","TAG_069","wave_2_scheduling_arm_1","","10/21/17",13
"229","TAG_069","sos_arm_1","","2/29/20",15
"230","TAG_069","wave_3_scheduling_arm_1","","4/13/19",15
"231","TAG_069","wave_4_scheduling_arm_1","","2/23/21",16
"232","TAG_070","wave_1_scheduling_arm_1","","5/6/16",11
"233","TAG_070","wave_2_scheduling_arm_1","","2/2/18",13
"234","TAG_070","wave_3_scheduling_arm_1","","10/28/19",15
"235","TAG_072","wave_1_scheduling_arm_1","","5/12/17",12
"236","TAG_072","wave_2_scheduling_arm_1","","11/9/18",13
"237","TAG_073","wave_1_scheduling_arm_1","","6/21/16",10
"238","TAG_073","wave_2_scheduling_arm_1","","11/27/17",12
"239","TAG_073","wave_3_scheduling_arm_1","","12/30/19",14
"240","TAG_074","wave_1_scheduling_arm_1","","9/15/17",10
"241","TAG_074","wave_2_scheduling_arm_1","","3/18/19",11
"242","TAG_074","sos_arm_1","","10/19/19",12
"243","TAG_075","wave_1_scheduling_arm_1","","8/8/16",12
"244","TAG_075","wave_2_scheduling_arm_1","","4/21/18",14
"245","TAG_075","wave_3_scheduling_arm_1","","10/17/19",16
"246","TAG_076","wave_1_scheduling_arm_1","","8/10/16",12
"247","TAG_076","wave_2_scheduling_arm_1","","3/7/18",14
"248","TAG_076","sos_arm_1","","1/13/19",14
"249","TAG_076","wave_3_scheduling_arm_1","","9/5/19",15
"250","TAG_077","wave_1_scheduling_arm_1","","7/26/17",9
"251","TAG_077","wave_2_scheduling_arm_1","","1/24/19",11
"252","TAG_077","sos_arm_1","","8/23/19",12
"253","TAG_078","wave_1_scheduling_arm_1","","10/8/16",11
"254","TAG_078","wave_2_scheduling_arm_1","","4/26/18",12
"255","TAG_078","wave_3_scheduling_arm_1","","10/29/19",14
"256","TAG_079","wave_1_scheduling_arm_1","","7/16/16",11
"257","TAG_079","wave_2_scheduling_arm_1","","5/15/18",13
"258","TAG_080","wave_1_scheduling_arm_1","","1/13/17",12
"259","TAG_080","wave_2_scheduling_arm_1","","6/23/18",13
"260","TAG_080","sos_arm_1","","3/29/19",14
"261","TAG_080","wave_3_scheduling_arm_1","","12/30/19",15
"262","TAG_081","wave_1_scheduling_arm_1","","7/3/17",10
"263","TAG_081","wave_2_scheduling_arm_1","","2/9/19",12
"264","TAG_081","sos_arm_1","","8/9/19",12
"265","TAG_083","wave_1_scheduling_arm_1","","11/2/17",12
"266","TAG_084","wave_1_scheduling_arm_1","","5/21/16",11
"267","TAG_084","wave_2_scheduling_arm_1","","11/22/17",12
"268","TAG_084","sos_arm_1","","11/4/18",13
"269","TAG_084","wave_3_scheduling_arm_1","","6/26/19",14
"270","TAG_085","wave_1_scheduling_arm_1","","6/27/16",12
"271","TAG_085","wave_2_scheduling_arm_1","","1/12/18",13
"272","TAG_085","sos_arm_1","","1/6/19",14
"273","TAG_085","wave_3_scheduling_arm_1","","7/18/19",15
"274","TAG_086","wave_1_scheduling_arm_1","","5/25/16",11
"275","TAG_086","wave_2_scheduling_arm_1","","11/19/17",12
"276","TAG_086","sos_arm_1","","12/9/18",13
"277","TAG_086","wave_3_scheduling_arm_1","","7/1/19",14
"278","TAG_087","wave_1_scheduling_arm_1","","10/26/17",10
"279","TAG_087","wave_2_scheduling_arm_1","","5/3/19",12
"280","TAG_087","sos_arm_1","","8/22/19",12
"281","TAG_088","wave_1_scheduling_arm_1","","7/5/16",12
"282","TAG_088","wave_2_scheduling_arm_1","","3/19/18",13
"283","TAG_088","wave_3_scheduling_arm_1","","10/12/19",15
"284","TAG_089","wave_1_scheduling_arm_1","","5/27/16",11
"285","TAG_089","wave_2_scheduling_arm_1","","11/17/17",13
"286","TAG_089","sos_arm_1","","12/8/18",14
"287","TAG_089","wave_3_scheduling_arm_1","","5/28/19",14
"288","TAG_090","wave_1_scheduling_arm_1","","6/22/16",11
"289","TAG_090","wave_2_scheduling_arm_1","","12/4/17",13
"290","TAG_090","wave_3_scheduling_arm_1","","7/9/19",14
"291","TAG_091","wave_1_scheduling_arm_1","","1/11/17",12
"292","TAG_091","wave_2_scheduling_arm_1","","8/18/18",13
"293","TAG_093","wave_1_scheduling_arm_1","","5/28/16",11
"294","TAG_093","wave_2_scheduling_arm_1","","2/13/18",13
"295","TAG_093","wave_3_scheduling_arm_1","","8/22/19",15
"296","TAG_095","wave_1_scheduling_arm_1","","6/16/17",10
"297","TAG_095","wave_2_scheduling_arm_1","","11/8/18",11
"298","TAG_095","wave_3_scheduling_arm_1","","11/15/20",13
"299","TAG_098","wave_1_scheduling_arm_1","","9/27/16",11
"300","TAG_098","wave_2_scheduling_arm_1","","3/30/18",13
"301","TAG_098","wave_3_scheduling_arm_1","","12/23/19",14
"302","TAG_099","wave_1_scheduling_arm_1","","12/1/16",12
"303","TAG_099","wave_2_scheduling_arm_1","","7/19/18",14
"304","TAG_099","wave_3_scheduling_arm_1","","1/30/20",15
"305","TAG_100","wave_1_scheduling_arm_1","","6/6/16",11
"306","TAG_100","wave_2_scheduling_arm_1","","3/13/18",13
"307","TAG_100","wave_3_scheduling_arm_1","","11/20/19",14
"308","TAG_101","wave_1_scheduling_arm_1","","1/28/17",11
"309","TAG_101","wave_2_scheduling_arm_1","","9/10/18",13
"310","TAG_101","sos_arm_1","","6/8/19",14
"311","TAG_101","wave_3_scheduling_arm_1","","1/25/21",15
"312","TAG_102","wave_1_scheduling_arm_1","","8/24/16",11
"313","TAG_102","wave_2_scheduling_arm_1","","3/27/18",13
"314","TAG_102","sos_arm_1","","10/27/19",14
"315","TAG_102","wave_3_scheduling_arm_1","","11/18/19",15
"316","TAG_103","wave_1_scheduling_arm_1","","1/27/17",12
"317","TAG_103","wave_2_scheduling_arm_1","","8/25/18",13
"318","TAG_103","sos_arm_1","","5/25/19",14
"319","TAG_103","wave_3_scheduling_arm_1","","2/3/21",16
"320","TAG_104","wave_1_scheduling_arm_1","","8/16/16",11
"321","TAG_104","wave_2_scheduling_arm_1","","3/21/18",12
"322","TAG_104","wave_3_scheduling_arm_1","","9/11/19",14
"323","TAG_105","wave_1_scheduling_arm_1","","9/17/16",11
"324","TAG_105","wave_2_scheduling_arm_1","","3/28/18",12
"325","TAG_105","wave_3_scheduling_arm_1","","1/28/20",14
"326","TAG_106","wave_1_scheduling_arm_1","","6/21/17",10
"327","TAG_106","wave_2_scheduling_arm_1","","11/16/18",11
"328","TAG_106","sos_arm_1","","6/2/19",12
"329","TAG_106","wave_3_scheduling_arm_1","","2/16/21",13
"330","TAG_107","wave_1_scheduling_arm_1","","2/20/17",12
"331","TAG_107","wave_2_scheduling_arm_1","","10/12/18",13
"332","TAG_108","wave_1_scheduling_arm_1","","8/4/16",11
"333","TAG_109","wave_1_scheduling_arm_1","","10/7/16",11
"334","TAG_110","wave_1_scheduling_arm_1","","7/14/17",10
"335","TAG_110","wave_2_scheduling_arm_1","","12/11/18",11
"336","TAG_110","sos_arm_1","","8/15/19",12
"337","TAG_111","wave_1_scheduling_arm_1","","10/14/16",11
"338","TAG_111","wave_2_scheduling_arm_1","","6/25/18",13
"339","TAG_111","wave_3_scheduling_arm_1","","2/3/20",15
"340","TAG_112","wave_1_scheduling_arm_1","","1/28/17",11
"341","TAG_112","wave_2_scheduling_arm_1","","7/31/18",13
"342","TAG_112","wave_3_scheduling_arm_1","","1/31/19",13
"343","TAG_113","wave_1_scheduling_arm_1","","1/14/17",11
"344","TAG_113","wave_2_scheduling_arm_1","","7/3/18",13
"345","TAG_113","wave_3_scheduling_arm_1","","12/13/19",14
"346","TAG_114","wave_1_scheduling_arm_1","","9/8/16",11
"347","TAG_114","wave_2_scheduling_arm_1","","6/14/18",13
"348","TAG_115","wave_1_scheduling_arm_1","","10/19/17",10
"349","TAG_116","wave_1_scheduling_arm_1","","10/3/17",10
"350","TAG_116","wave_2_scheduling_arm_1","","5/11/19",12
"351","TAG_117","wave_1_scheduling_arm_1","","12/12/16",11
"352","TAG_117","wave_2_scheduling_arm_1","","6/19/18",13
"353","TAG_117","wave_3_scheduling_arm_1","","12/4/19",14
"354","TAG_119","wave_1_scheduling_arm_1","","7/5/16",12
"355","TAG_119","wave_2_scheduling_arm_1","","3/23/18",14
"356","TAG_119","wave_3_scheduling_arm_1","","9/24/19",15
"357","TAG_120","wave_1_scheduling_arm_1","","9/5/17",12
"358","TAG_120","wave_2_scheduling_arm_1","","4/9/19",13
"359","TAG_120","sos_arm_1","","8/8/19",14
"360","TAG_120","wave_3_scheduling_arm_1","","12/23/20",15
"361","TAG_122","wave_1_scheduling_arm_1","","9/29/17",11
"362","TAG_122","wave_2_scheduling_arm_1","","4/2/19",12
"363","TAG_122","sos_arm_1","","10/5/19",13
"364","TAG_122","wave_3_scheduling_arm_1","","12/6/20",14
"365","TAG_124","wave_1_scheduling_arm_1","","11/16/17",10
"366","TAG_124","wave_2_scheduling_arm_1","","4/23/19",12
"367","TAG_124","sos_arm_1","","12/8/19",12
"368","TAG_125","wave_1_scheduling_arm_1","","10/31/17",10
"369","TAG_125","wave_2_scheduling_arm_1","","5/6/19",12
"370","TAG_127","wave_1_scheduling_arm_1","","11/9/17",10
"371","TAG_127","wave_2_scheduling_arm_1","","5/30/19",12
"372","TAG_130","wave_1_scheduling_arm_1","","9/14/16",12
"373","TAG_130","wave_2_scheduling_arm_1","","4/2/18",13
"374","TAG_130","wave_3_scheduling_arm_1","","11/4/19",15
"375","TAG_131","wave_1_scheduling_arm_1","","2/22/17",11
"376","TAG_131","wave_2_scheduling_arm_1","","8/13/18",13
"377","TAG_131","sos_arm_1","","4/20/19",14
"378","TAG_131","wave_3_scheduling_arm_1","","2/21/20",14
"379","TAG_132","wave_1_scheduling_arm_1","","1/15/17",12
"380","TAG_132","wave_2_scheduling_arm_1","","8/24/18",13
"381","TAG_132","sos_arm_1","","3/23/19",14
"382","TAG_132","wave_3_scheduling_arm_1","","2/7/20",15
"383","TAG_137","wave_1_scheduling_arm_1","","10/23/16",11
"384","TAG_138","wave_1_scheduling_arm_1","","10/15/16",11
"385","TAG_138","wave_2_scheduling_arm_1","","5/2/18",12
"386","TAG_138","sos_arm_1","","3/2/19",13
"387","TAG_138","wave_3_scheduling_arm_1","","10/14/19",14
"388","TAG_140","wave_1_scheduling_arm_1","","10/28/16",12
"389","TAG_140","wave_2_scheduling_arm_1","","5/11/18",14
"390","TAG_140","sos_arm_1","","3/10/19",14
"391","TAG_140","wave_3_scheduling_arm_1","","10/11/19",15
"392","TAG_141","wave_1_scheduling_arm_1","","10/23/16",11
"393","TAG_141","wave_2_scheduling_arm_1","","6/4/18",13
"394","TAG_141","sos_arm_1","","4/14/19",14
"395","TAG_141","wave_3_scheduling_arm_1","","2/5/20",15
"396","TAG_143","wave_1_scheduling_arm_1","","6/8/16",11
"397","TAG_143","wave_2_scheduling_arm_1","","3/20/18",13
"398","TAG_143","wave_3_scheduling_arm_1","","3/11/20",15
"399","TAG_144","wave_1_scheduling_arm_1","","10/19/16",12
"400","TAG_144","wave_2_scheduling_arm_1","","4/25/18",14
"401","TAG_144","wave_3_scheduling_arm_1","","1/6/20",15
"402","TAG_144","wave_4_scheduling_arm_1","","1/23/21",16
"403","TAG_145","wave_1_scheduling_arm_1","","2/15/17",12
"404","TAG_147","wave_1_scheduling_arm_1","","1/29/18",10
"405","TAG_147","wave_2_scheduling_arm_1","","9/4/19",12
"406","TAG_147","wave_3_scheduling_arm_1","","12/3/20",13
"407","TAG_149","wave_1_scheduling_arm_1","","6/17/16",12
"408","TAG_149","wave_2_scheduling_arm_1","","12/4/17",13
"409","TAG_149","wave_3_scheduling_arm_1","","7/26/19",15
"410","TAG_152","wave_1_scheduling_arm_1","","2/20/17",10
"411","TAG_152","wave_2_scheduling_arm_1","","9/14/18",12
"412","TAG_152","wave_3_scheduling_arm_1","","12/21/20",14
"413","TAG_155","wave_1_scheduling_arm_1","","10/24/17",12
"414","TAG_155","wave_2_scheduling_arm_1","","8/13/19",14
"415","TAG_158","wave_1_scheduling_arm_1","","2/15/17",12
"416","TAG_159","wave_1_scheduling_arm_1","","6/13/16",12
"417","TAG_159","wave_2_scheduling_arm_1","","2/1/18",13
"418","TAG_159","wave_3_scheduling_arm_1","","8/9/19",15
"419","TAG_160","wave_1_scheduling_arm_1","","7/28/16",12
"420","TAG_160","wave_2_scheduling_arm_1","","2/12/18",13
"421","TAG_160","sos_arm_1","","3/21/20",15
"422","TAG_160","wave_3_scheduling_arm_1","","8/8/19",15
"423","TAG_164","wave_1_scheduling_arm_1","","6/25/16",12
"424","TAG_164","wave_2_scheduling_arm_1","","12/4/17",13
"425","TAG_164","sos_arm_1","","2/17/19",14
"426","TAG_164","wave_3_scheduling_arm_1","","8/16/19",15
"427","TAG_165","wave_1_scheduling_arm_1","","2/9/18",10
"428","TAG_166","wave_1_scheduling_arm_1","","8/24/17",12
"429","TAG_166","wave_2_scheduling_arm_1","","2/5/19",13
"430","TAG_167","wave_1_scheduling_arm_1","","12/30/16",12
"431","TAG_167","wave_2_scheduling_arm_1","","7/17/18",13
"432","TAG_167","sos_arm_1","","7/12/19",14
"433","TAG_167","wave_3_scheduling_arm_1","","1/24/20",15
